siman,seif,text
589,2,"חרש שוטה וקטן פטורים; וחרש, אפילו מדבר ואינו שומע, אינו מוציא דכיוון דאינו שומע לאו בר חיובא הוא. אבל שומע ואינו מדבר, מוציא אחרים ידי חובתן"
589,3,אשה פטורה משום דהווי מצוות עשה שהזמן גרמא.
589,4,"אנדרוגינוס מוציא את מינו; טומטום, אפילו את מינו אינו מוציא."
589,5,"מי שחציו עבד וחציו בן חורין אינו מוציא אפילו עצמו, וצריך שיתקע לו בן חורין להוציאו."
589,6,"אף על פי שנשים פטורות, יכולות לתקע; וכן אחר שיצא כבר, יכול לתקע להוציאן, אבל אין מברכות ולא יברכו להן. והמנהג שהנשים מברכות על מצוות עשה שהזמן גרמא על כן גם כאן מברכות לעצמן, אבל אחרים לא יברכו להן אם כבר יוצאו. ואינן תוקעין רק לנשים, אבל אם תוקעין לאיש המחוייב, מברכין לו אף על פי שכבר יוצאו, כמו שנתבאר סימן תקפ""ה ב' בהגהה א'"
589,7,"המודר הנאה מחברו מותר לתקע לו תקיעה של מצווה; ודווקא כשהוא תוקע מאליו להוציאו, אבל אם אמר לו המודר: תקע והוציאני, אסור. ואם אמר: קונם תקיעותיו עלי, בכל ענין אסור"
589,8,"המתעסק בתקיעת שופר להתלמד, לא יצא ידי חובתו; וכן השומע מן המתעסק, לא יצא; וכן התוקע לשורר ולא נתכוון לתקיעת מצווה, לא יצא. נתכוון שומע לצאת ידי חובתו, ולא נתכוון התוקע להוציאו; או שנתכוון התוקע להוציאו ולא נתכוון השומע לצאת, לא יצא ידי חובתו עד שיתכוון שומע ומשמיע."
589,9,"מי שתקע ונתכוון להוציא כל השומע תקיעתו, ושמע השומע ונתכוון לצאת ידי חובתו, אף על פי שאין התוקע מתכוון לפלוני זה ששמע תקיעתו, ואינו יודע, יצא שהרי נתכוון להוציא לכל מי שישמענו; לפיכך מי שהיה מהלך בדרך או יושב בתוך ביתו, ושמע תקיעות משליח צבור, יצא, אם נתכוון לצאת, שהרי שליח צבור מתכוון להוציא את הרבים ידי חובתן."
590,1,"כמה תקיעות חייב אדם לשמע בראש השנה, תשע; לפי שנאמר: תרועה ביובל ובראש השנה שלוש פעמים, וכל תרועה פשוטה לפניה ופשוטה לאחריה, ומיפי השמועה למדו שכל תרועות של חודש השביעי אחד הן, בין בראש השנה בין ביום הכיפורים של יובל, תשע תקיעות תוקעין בכל אחד משניהם: תר""ת, תר""ת, תר""ת."
590,2,"תרועה זו האמורה בתורה, נסתפק לנו אם היא היללה שאנו קורים תרועה, או אם היא מה שאנו קורים שברים, או אם הם שניהם יחד; לפיכך, כדי לצאת ידי ספק צריך לתקע תשר""ת שלוש פעמים, ותש""ת שלוש פעמים, ותר""ת שלוש פעמים."
590,3,"יש אומרים ששעור תקיעה כתרועה, ושעור תרועה כשלושה יבבות, דהינו ג' כוחות בעולמא כל שהוא והם נקראין טרומיטין; ולפי זה צריך לזהר שלא יאריך בשבר כשלושה טרומיטין, שאם כן יצא מכלל שבר ונעשה תקיעה; וצריך להאריך בתקיעה של תשר""ת יותר מבשל תש""ת, ובשל תש""ת יותר מבשל תר""ת; ומיהו אם מאריך הרבה בכל תקיעה אין לחוש, שאין לה שעור למעלה; וכן בתרועה יכול להאריך בה כמו שירצה; וכן אם מוסיף על ג' שברים ועושה ד' או אלוהים, אין לחוש. ויש אומרים ששעור יבבא ג' טרומיטין; ושעור תרועה כשלושה יבבות, שהם ט' טרומיטין; ושעור תקיעה גם כן תשעה טרומיטין, כתרועה; ולפי זה אין לחוש אם האריך קצת בשברים; וצריך להאריך בתקיעה של תשר""ת כשעור שנים עשר טרומיטין, ומי שלא האריך בתקיעה כשעור הזה והאריך בשברים, לא קיים המצווה לא כמר ולא כמר."
590,4,"ג' שברים צריך לעשותם בנשימה אחת, אבל ג' שברים ותרועה דתשר""ת יש אומרים שאינו צריך לעשותם בנשימה אחת, והוא שלא ישהה בהפסקה יותר מכדי נשימה, ויש אומרים שצריך לעשותם בנשימה אחת; וירא שמים יצא ידי כולם, ובתקיעות דמיושב יעשה בנשימה אחת; ובתקיעות דמעומד יעשה בב' נשימות. והמנהג הפשוט לעשות הכול בב' נשימות, ואין לשנות."
590,5,"אם תקע תר""ת בנשימה אחת, יצא; ויש מי שאומר שלא יצא."
590,6,"אם האריך בתקיעה אחרונה של תשר""ת כשעור ב' תקיעות, כדי שתעלה לשם תקיעה אחרונה של תשר""ת ובשביל הראשונה של תש""ת, לא עולתה לו אלא בשביל תקיעה אחת; ויש אומרים שאפילו בשביל אחת לא עולתה לו. ואם תקע תקיעה אחת בין ב' סדרים והתנה שאיזה מן הסדרים הוא הנכון תעלה לו אותה תקיעה, יצא"
590,7,"אם טעה בתשר""ת ואחר שתקע ב' שברים טעה והתחיל להריע, אם נזכר מיד יתקע שבר אחר; ואם לא נזכר עד שגמר התרועה שהתחיל בה בטעות, לא הפסיד התקיעה הראשונה שתקע, אלא חוזר ותוקע ג' שברים ומריע ותוקע; אבל אם ארע בתש""ת או תר""ת, הפסיד גם תקיעה ראשונה."
590,8,"אם הפסיק בתרועה בין תקיעה לשברים, או שהפסיק בשברים בין תרועה לתקיעה, וכן אם הריע ב' תרועות זו אחרי זו, או שתקע אחרי התרועה תקיעה כמתעסק שלא לשם תקיעה והפסיק בה בין תרועה לתקיעה; או לאחר שתקע שלושה שברים שתק והפסיק ואחר כך תקע שברים אחרים, ואפילו שבר אחד, בכל אלו הווי הפסק והפסיד גם תקיעה ראשונה."
590,9,"אם תקע שני תשר""ת, או שני תש""ת, או שני תר""ת כהוגן וטעה בשלישי, אין צריך לחזור אלא לאחרון שטעה בו. אם תקע בצד הרחב של השופר, לא יצא. ואחר שתקעו אומר השליח צבור פסוק אשרי העם יודעי תרועה, ואשרי, ומחזירין הספר למקומו."
